,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
42,National Heart Institute,"East Of Kailash, Delhi",8.0,50.0,https://www.practo.com/delhi/hospital/national-heart-institute-east-of-kailash
43,Rockland Hospital,"Dwarka, Delhi",33.0,100.0,https://www.practo.com/delhi/hospital/rockland-hospital-dwarka-2
44,Gouri Hospital,"Kamla Nagar, Delhi",10.0,25.0,https://www.practo.com/delhi/hospital/gouri-hospital-kamla-nagar
45,Sanjeevan Hospital,"Darya Ganj, Delhi",73.0,100.0,https://www.practo.com/delhi/hospital/sanjeevan-speciality-hospital-pahar-ganj
46,Pentamed Hospital,"Model Town, Delhi",8.0,30.0,https://www.practo.com/delhi/hospital/pentamed-hospital-gujranwala-town-1
47,Westend Hospital ,"Tilak Nagar, Delhi",5.0,,https://www.practo.com/delhi/hospital/westend-hospital-tilak-nagar
48,Sri Balaji Action Medical Institute,"Paschim Vihar, Delhi",114.0,150.0,https://www.practo.com/delhi/hospital/sri-balaji-action-medical-institute-action-cancer-hospital-paschim-vihar
49,Orthopaedic Excellence Group Available at Fortis Hospital,"Vasant Kunj, Delhi",4.0,150.0,https://www.practo.com/delhi/hospital/orthopaedic-excellence-vasant-kunj
50,Max Superspeciality Hospital,"Shalimar Bagh, Delhi",135.0,300.0,https://www.practo.com/delhi/hospital/max-super-speciality-hospital-shalimar-bagh-1
51,Holy Family Hospital,"Okhla, Delhi",68.0,,https://www.practo.com/delhi/hospital/holy-family-hospital-okhla-2
52,Bhatia Global Hospital & Endosurgery Institute,"Paschim Vihar, Delhi",3.0,50.0,https://www.practo.com/delhi/hospital/bhatia-global-hospital-endosurgery-institute-paschim-vihar
53,Orthoplus Hospital,"Najafgarh, Delhi",12.0,,https://www.practo.com/delhi/hospital/orthoplus-hospital-najafgarh-1
54,Olmec Plastic Surgery & Hair Transplant Hospital,"Pitampura, Delhi",1.0,7.0,https://www.practo.com/delhi/hospital/olmec-plastic-surgery-pitampura
55,Metro Hospitals & Heart Institute,"Lajpat Nagar, Delhi",10.0,50.0,https://www.practo.com/delhi/hospital/metro-hospitals-heart-institute-lajpat-nagar-lajpat-nagar
56,Aakash Health Care,"Dwarka, Delhi",16.0,100.0,https://www.practo.com/delhi/hospital/aakash-health-care-dwarka
57,Mohinder Hospital,"Green Park, Delhi",17.0,,https://www.practo.com/delhi/hospital/mohinder-hospital-green-park-1
58,Amar Leela Hospital Pvt. Ltd,"Janak Puri, Delhi",7.0,43.0,https://www.practo.com/delhi/hospital/amar-leela-hospital-pvt-ltd-janak-puri-687377
59,Centre For Sexual & Mental Health,"Greater Kailash Part 2, Delhi",1.0,20.0,https://www.practo.com/delhi/hospital/gnh-hospital-greater-kailash-part-2
60,Indraprastha Apollo Hospitals,"Sarita Vihar, Delhi",32.0,100.0,https://www.practo.com/delhi/hospital/indraprastha-apollo-hospital-2-sarita-vihar
61,NKS Super Speciality Hospital,"Gulabi Bagh, Delhi",12.0,102.0,https://www.practo.com/delhi/hospital/nazar-kanwar-surana-hospital-gulabi-bagh
62,Bali Nursing Home,"Karol Bagh, Delhi",10.0,,https://www.practo.com/delhi/hospital/bali-nursing-home-karol-bagh-1
63,Panchsheel Hospital,"Yamuna Vihar, Delhi",10.0,50.0,https://www.practo.com/delhi/hospital/panchsheel-hospital-pvt-ltd-yamuna-vihar
64,Durga Hospital Pvt. Ltd,"Mukherjee Nagar, Delhi",6.0,,https://www.practo.com/delhi/hospital/durga-hospital-pvt-ltd-mukherjee-nagar
65,Apex Citi Hospital ,"IP Extension, Delhi",32.0,,https://www.practo.com/delhi/hospital/apex-citi-hospital-ip-extension
66,Bhagat Hospital,"Janak Puri, Delhi",29.0,35.0,https://www.practo.com/delhi/hospital/bhagat-hospital-janak-puri
