,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
186,Patel Hospital,"Laxmi Nagar, Delhi",1.0,25.0,https://www.practo.com/delhi/hospital/patel-hospital-1
187,Gambhir Hospital,"Rajouri Garden, Delhi",19.0,20.0,https://www.practo.com/delhi/hospital/gambhir-hospital-rajouri-garden
188,Delhi Heart Hospital,"Delhi, Delhi",1.0,,https://www.practo.com/delhi/hospital/delhi-heart-hospital-vikas-nagar
189,"Apollo Spectra Hospital,Kailash Colony","East Of Kailash, Delhi",2.0,16.0,https://www.practo.com/delhi/hospital/apollo-spectra-hospital-5-east-of-kailash
190,Max Smart Superspeciality Hospital,"Saket, Delhi",1.0,,https://www.practo.com/delhi/hospital/dr-madhusudan-singh-solanki-saket-1
191,New Rohini Hospital,"Rohini, Delhi",13.0,8.0,https://www.practo.com/delhi/hospital/new-rohini-hospital-rohini
192,Muni Maya Ram Jain Hospital,"Pitampura, Delhi",8.0,50.0,https://www.practo.com/delhi/hospital/muni-maya-ram-jain-hospital-pitampura
193,Smt Sucheta Kriplani Hospital,"Connaught Place, Delhi",2.0,,https://www.practo.com/delhi/hospital/smt-sucheta-kriplani-hospital-connaught-place-687830
194,Shree Jeewan Hospital,"Karol Bagh, Delhi",33.0,52.0,https://www.practo.com/delhi/hospital/shree-jeewan-hospital-karol-bagh-2
195,Shradha Multispeciality Hospital,"Narela, Delhi",47.0,20.0,https://www.practo.com/delhi/hospital/dr-shalini-goel-narela-1
196,Apollo Spectra Hospitals,"Karol Bagh, Delhi",2.0,25.0,https://www.practo.com/delhi/hospital/apollo-spectra-hospitals-karol-bagh-karol-bagh
197,Pushpawati Singhania Research Institute (PSRI Hospital),"Sheikh Sarai, Delhi",8.0,100.0,https://www.practo.com/delhi/hospital/pushpawati-singhania-research-institute-sheikh-sarai
198,M M Eyetech Institute,"Lajpat Nagar, Delhi",7.0,10.0,https://www.practo.com/delhi/hospital/m-m-eyetech-lajpat-nagar-1
199,Tarak Hospital,"Dwarka, Delhi",7.0,75.0,https://www.practo.com/delhi/hospital/tarak-hospital-najafgarh
200,Kosmos Superspeciality Hospital,"Anand Vihar, Delhi",8.0,50.0,https://www.practo.com/delhi/hospital/kosmos-superspeciality-hospital-3-anand-vihar
201,Sukhda Hospital,"Greater Kailash Part 1, Delhi",1.0,25.0,https://www.practo.com/delhi/hospital/sukhda-hospital-1-greater-kailash-part-1-2
202,Tomar Medical Centre,"Janak Puri, Delhi",40.0,18.0,https://www.practo.com/delhi/hospital/tomar-medical-centre-janak-puri
203,Vision Eye Hospital,"Rohini, Delhi",24.0,2.0,https://www.practo.com/delhi/hospital/vision-eye-hospital-rohini
204,Bhagat Chandra Hospital,"Dwarka, Delhi",20.0,85.0,https://www.practo.com/delhi/hospital/bhagat-chandra-hospital-dwarka-1
205,Delhi Heart And Lung Institute,"Mandir Marg, Delhi",1.0,100.0,https://www.practo.com/delhi/hospital/delhi-heart-lung-institute-mandir-marg
206,Blk Super Speciality Hospital,"Rajendra Nagar, Delhi",4.0,650.0,https://www.practo.com/delhi/hospital/blk-super-speciality-hospital-rajendra-nagar
207,Zed Dental Hospital,"Punjabi Bagh, Delhi",2.0,5.0,https://www.practo.com/delhi/hospital/zed-dental-hospital-punjabi-bagh
208,SCI International Hospital,"Greater Kailash Part 1, Delhi",9.0,49.0,https://www.practo.com/delhi/hospital/sci-international-hospital-greater-kailash-part-1-1
209,Healers at Home - Laxmi Nagar,"Laxmi Nagar, Delhi",6.0,,https://www.practo.com/delhi/hospital/healers-at-home-laxmi-nagar-laxmi-nagar
210,Triton Hospital,"Nehru Place, Delhi",2.0,22.0,https://www.practo.com/delhi/hospital/triton-hospital-nehru-place
211,Centre for Sight - Rajouri Garden,"Rajouri Garden, Delhi",8.0,4.0,https://www.practo.com/delhi/hospital/center-for-sight-rajouri-rajouri-garden
212,Bajaj Medical Centre,"Paschim Vihar, Delhi",5.0,10.0,https://www.practo.com/delhi/hospital/dr-bajaj-mother-and-child-clinic-paschim-vihar
213,Sheikh Sarai Medical Centre,"Sheikh Sarai, Delhi",1.0,,https://www.practo.com/delhi/hospital/sheikh-sarai-medical-centre-sheikh-sarai-1-671760
214,BM Gupta Hospital,"Uttam Nagar, Delhi",3.0,100.0,https://www.practo.com/delhi/hospital/bm-gupta-hospital-uttam-nagar
215,Mehta Urology Hospital,"Saket, Delhi",16.0,,https://www.practo.com/delhi/hospital/mehta-hospital-saket-1
216,Bansal Global Hospital,"Jahangirpuri, Delhi",5.0,,https://www.practo.com/delhi/hospital/bansal-global-hospital-jahangirpuri
217,IBS Hospital,"Lajpat Nagar, Delhi",2.0,50.0,https://www.practo.com/delhi/hospital/institute-of-brain-and-spine-hospital-lajpat-nagar-7
218,Swasthik Hospital,"Tilak Nagar, Delhi",2.0,20.0,https://www.practo.com/delhi/hospital/swasthik-hospital
219,Dr. Bajaj'S Eye Hospital Pvt Ltd,"Shahdara, Delhi",22.0,,https://www.practo.com/delhi/hospital/bajaj-eye-hospital-pvt-ltd-shahdara
220,Kesar Hospital,"Shalimar Bagh, Delhi",2.0,20.0,https://www.practo.com/delhi/hospital/kesar-hospital-shalimar-bagh-1
221,Apollo Cradle,"Moti Nagar, Delhi",1.0,47.0,https://www.practo.com/delhi/hospital/apollo-cradle-moti-nagar-delhi
222,Samyak Hospital,"Shalimar Bagh, Delhi",2.0,,https://www.practo.com/delhi/hospital/samyak-hospital-shalimar-bagh-3
223,CP Vet Hospital,"Delhi, Delhi",8.0,2.0,https://www.practo.com/delhi/hospital/cp-vet-hospital-chakkarpur
224,Pavan Nursing Home,"Laxmi Nagar, Delhi",10.0,20.0,https://www.practo.com/delhi/hospital/pavan-nursing-home
225,National Hospital ,"Sangam Vihar, Delhi",1.0,,https://www.practo.com/delhi/hospital/national-hospital-sangam-vihar
226,Cygnus Sonia Hospital,"Nangloi, Delhi",17.0,70.0,https://www.practo.com/delhi/hospital/cygnus-sonia-hospital-nangloi
227,Dr Gopika's Centre For Young Smiles,"Greater Kailash Part 1, Delhi",6.0,,https://www.practo.com/delhi/hospital/dr-gopika-s-centre-for-young-smiles-greater-kailash-part-1
228,Sukhmani Hospital,"Vasant Kunj, Delhi",5.0,30.0,https://www.practo.com/delhi/hospital/sukhmani-hospital-4
229,HCG SMH Curie Cancer Centre,"Karkardooma, Delhi",1.0,15.0,https://www.practo.com/delhi/hospital/hcg-smh-curie-cancer-centre-karkardooma
230,RG Stone Urology And Laparoscopy Hospital,"Karkardooma, Delhi",2.0,30.0,https://www.practo.com/delhi/hospital/r-g-stone-urology-laparoscopy-hospital
231,S. D. Hospital,"Delhi, Delhi",9.0,5.0,https://www.practo.com/delhi/hospital/s-d-hospital-chakkarpur
232,Dr. Arvind Bountra's Clinic,"Malviya Nagar, Delhi",2.0,,https://www.practo.com/delhi/hospital/dr-arvind-bountra-s-clinic-malviya-nagar
233,Maharishi Ayurveda Hospital,"Shalimar Bagh, Delhi",1.0,49.0,https://www.practo.com/delhi/hospital/maharishi-ayurveda-hospital-shalimar-bagh-2
234,Dr. Lal Hospital,"Badarpur, Delhi",1.0,10.0,https://www.practo.com/delhi/hospital/dr-lal-hospital-jaitpur
235,Apurbha Hospital,"Delhi, Delhi",7.0,7.0,https://www.practo.com/delhi/hospital/apurbha-hospital-lotus-panache
236,Shiva Krishna Hospital,"Sahibabad, Delhi",3.0,30.0,https://www.practo.com/delhi/hospital/shiva-krishna-hospital-mohan-nagar
237,Mahindru Hospital,"Delhi, Delhi",1.0,20.0,https://www.practo.com/delhi/hospital/mahindru-hospital-uttam-nagar
238,Tirath Ram Hospital,"Delhi, Delhi",6.0,30.0,https://www.practo.com/delhi/hospital/tirath-ram-hospital-arjun-nagar-1
239,Dr Poonam Chawla Maternity Home,"Vikas Puri, Delhi",3.0,5.0,https://www.practo.com/delhi/hospital/chawala-family-health-clinic-vikas-puri
240,Rescue Hospital,"Dwarka, Delhi",1.0,,https://www.practo.com/delhi/hospital/rescue-hospital-dwarka-2
241,Maheshwari Hospital,"Pitampura, Delhi",1.0,,https://www.practo.com/delhi/hospital/maheshwari-hospital-pitampura
242,M D Eye Care & Laser Centre,"Greater Kailash Part 2, Delhi",1.0,7.0,https://www.practo.com/delhi/hospital/m-d-eye-care-laser-centre-greater-kailash
243,Springdales Hospital,"Rohini, Delhi",1.0,25.0,https://www.practo.com/delhi/hospital/springdales-hospital-rohini
244,Mahajan Children Hospital & Nursing Home,"Uttam Nagar, Delhi",1.0,8.0,https://www.practo.com/delhi/hospital/mahajan-poly-clinic-uttam-nagar-1-1
245,Sahdeo Hospital,"Delhi, Delhi",1.0,,https://www.practo.com/delhi/hospital/sahdeo-trauma-centre
246,Aastha Hospital,"Delhi, Delhi",2.0,,https://www.practo.com/delhi/hospital/aastha-hospital-3
247,Care Medical Centre,"Pahar Ganj, Delhi",9.0,5.0,https://www.practo.com/delhi/hospital/care-medical-centre-pahar-ganj-689345
248,Laxmi nursing Home,"Rohini, Delhi",1.0,20.0,https://www.practo.com/delhi/hospital/luxmi-nursing-home-rohini
249,Centre for Sight,"New Rajendra Nagar, Delhi",2.0,,https://www.practo.com/delhi/hospital/center-for-sight-old-gurgaon-gurgaon-sector-29
250,Dr. Batra's Diagnostic Centre at Neptune Hospital,"Malviya Nagar, Delhi",8.0,10.0,https://www.practo.com/delhi/hospital/dr-batra-s-diagnostic-centre-at-neptune-hospital-malviya-nagar
251,International Fertility Centre,"Green Park, Delhi",13.0,30.0,https://www.practo.com/delhi/hospital/international-fertility-centre-green-park-1
252,RG Stone Urology & Laparoscopy Hospital,"Pitampura, Delhi",1.0,6.0,https://www.practo.com/delhi/hospital/rg-urology-laparoscopy-hospital
253,Hans Charitable Hospital,"GTB Nagar, Delhi",5.0,50.0,https://www.practo.com/delhi/hospital/hans-charitable-hospital-gtb-nagar
254,Asian Eye Hospital,"Yamuna Vihar, Delhi",6.0,,https://www.practo.com/delhi/hospital/asian-eye-hospital-yamuna-vihar
255,R K Hospital ,"Sangam Vihar, Delhi",11.0,,https://www.practo.com/delhi/hospital/r-k-hospital-sangam-vihar
256,Krishna Hospital,"Pitampura, Delhi",1.0,20.0,https://www.practo.com/delhi/hospital/krishna-hospital
257,ISIS Hospital,"Kailash Colony, Delhi",2.0,12.0,https://www.practo.com/delhi/hospital/isis-hospital-kailash-colony
258,Ishan Hospital,"Rohini, Delhi",1.0,,https://www.practo.com/delhi/hospital/ishan-hospital-rohini-3
259,Muni Maya Jain Hospital,"Pitampura, Delhi",1.0,,https://www.practo.com/delhi/hospital/munimaya-jain-hospital
260,Friends Hospital,"Rohini, Delhi",4.0,4.0,https://www.practo.com/delhi/hospital/friends-hospital-rohini
261,Sunil Memorial,"Dwarka, Delhi",1.0,20.0,https://www.practo.com/delhi/hospital/sunil-memoria-palam-village
262,Sanjay Global Hospital,"Jahangirpuri, Delhi",1.0,,https://www.practo.com/delhi/hospital/sanjay-global-hospital-jahangirpuri
263,Dr Arya's Dental Hospital,"Bhajanpura, Delhi",17.0,1.0,https://www.practo.com/delhi/hospital/datoo-ka-hospital-karkardooma
264,Guru Nanak Charitable Hospital,"Inder Puri, Delhi",1.0,,https://www.practo.com/delhi/hospital/guru-nanak-charitable-hospital
265,Holy Angels Hospital,"Vasant Vihar, Delhi",1.0,30.0,https://www.practo.com/delhi/hospital/holy-angels-hospital-qutab-institutional-area
266,Jai Nar Hospital,"Meera Bagh, Delhi",1.0,10.0,https://www.practo.com/delhi/hospital/jai-nar-hospital
267,Jhamb Medical and Maternity Centre,"Shalimar Bagh, Delhi",1.0,7.0,https://www.practo.com/delhi/hospital/jhamb-medical-and-maternity-centre-rohini
268,Magadh Hospita,"Delhi, Delhi",1.0,5.0,https://www.practo.com/delhi/hospital/magadh-hospita
269,Park Nursing Home,"Ranjit Nagar, Delhi",18.0,4.0,https://www.practo.com/delhi/hospital/park-nursing-home-1-patel-nagar
270,Bansal Hospital,"New Friends Colony, Delhi",8.0,15.0,https://www.practo.com/delhi/hospital/bansal-hospital-1-new-delhi
271,Karuna Hospital ,"Dilshad Garden, Delhi",4.0,20.0,https://www.practo.com/delhi/hospital/karuna-hospital-dilshad-garden
272,Hemraj Jain Hospital and Maternity Home,"Janak Puri, Delhi",1.0,30.0,https://www.practo.com/delhi/hospital/hemraj-jain-hospital-maternity-home-janak-puri
273,Handa Nursing Home,"Raja Garden, Delhi",1.0,45.0,https://www.practo.com/delhi/hospital/handa-nursing-home-raja-garden-1
274,R. R. Medical Centre,"Mayur Vihar Ph-II, Delhi",3.0,,https://www.practo.com/delhi/hospital/r-r-medical-centre-1-mayur-vihar-ph-ii
275,Netra Eye Hospital,"Uttam Nagar, Delhi",1.0,5.0,https://www.practo.com/delhi/hospital/dr-dhawan-s-netra-eye-hospital-uttam-nagar
276,Jain Eye Hospital And Laser Centre,"Shalimar Bagh, Delhi",6.0,2.0,https://www.practo.com/delhi/hospital/jain-eye-hospital-and-laser-centre-shalimar-bagh
277,Malhotra Nursing Home,"Mayur Vihar Ph-II, Delhi",21.0,3.0,https://www.practo.com/delhi/hospital/malhotra-nursing-home-mayur-vihar-ph-ii-1
278,Aakash Wellness Centre,"Malviya Nagar, Delhi",14.0,,https://www.practo.com/delhi/hospital/akash-wellness-centre-malviya-nagar
279,Apollo Cradle,"Nehru Place, Delhi",4.0,18.0,https://www.practo.com/delhi/hospital/apollo-cradle-nehru-place-delhi-nehru-place
280,Hygiea Hospital,"Munirka, Delhi",4.0,,https://www.practo.com/delhi/hospital/hygiea-hospital-munirka
281,Eye Q Super Speciality Eye Hospitals,"Shalimar Bagh, Delhi",1.0,2.0,https://www.practo.com/delhi/hospital/eye-q-super-speciality-eye-hospitals-shalimar-bagh
282,Phoenix Hospitals,"Greater Kailash Part 1, Delhi",2.0,,https://www.practo.com/delhi/hospital/phoenix-hospitals-lajpat-nagar
283,Healers at Home - Okhla,"Okhla, Delhi",2.0,,https://www.practo.com/delhi/hospital/healers-at-home-okhla
284,Sharp Sight Centre,"Rajendra Nagar, Delhi",1.0,3.0,https://www.practo.com/delhi/hospital/sharp-sight-centre-rajendra-nagar
285,Sai Vinayak Dental Hospital,"Shalimar Bagh, Delhi",1.0,2.0,https://www.practo.com/delhi/hospital/sai-vinayak-dental-hospital-shalimar-bagh
286,"Anamiiva, Dr. Tyagi Panchakarma and Ayurvedic Hospital","East Of Kailash, Delhi",1.0,,https://www.practo.com/delhi/hospital/anamiiva-dr-tyagi-panchakarma-and-ayurvedic-hospital-east-of-kailash
287,Muskaan Hospital,"Rohini, Delhi",1.0,50.0,https://www.practo.com/delhi/hospital/muskaan-hospital-rohini
288,Akshika Urology and Laparoscopy Centre,"Janak Puri, Delhi",1.0,,https://www.practo.com/delhi/hospital/akshika-urology-and-laparoscopy-centre-janak-puri
289,Paschimi Hospital,"Paschim Vihar, Delhi",3.0,10.0,https://www.practo.com/delhi/hospital/paschimi-hospital-paschim-vihar
290,Dr. Upali Nanda's Clinic,"Saiyad ul Ajaib, Delhi",2.0,,https://www.practo.com/delhi/hospital/dr-upali-nanda-s-clinic-saiyad-ul-ajaib
291,Eye7 Chaudhary Eye Centre,"Lajpat Nagar, Delhi",1.0,10.0,https://www.practo.com/delhi/hospital/eye-7-hospital-lajpat-nagar
292,Centre for Sight - Okhla,"Okhla, Delhi",3.0,,https://www.practo.com/delhi/hospital/center-for-sight-okhla-okhla
293,Jain Eye Hospital,"Shahdara, Delhi",5.0,,https://www.practo.com/delhi/hospital/dr-lokesh-jain-eye-hospital-shahdara
294,Apollo Fertility,"Moti Nagar, Delhi",4.0,,https://www.practo.com/delhi/hospital/apollo-fertility-moti-nagar
295,Centre for Sight -  Pusa Road,"Pusa Road, Delhi",6.0,,https://www.practo.com/delhi/hospital/center-for-sight-pusa-road-pusa-road
296,Singh's Dental Hospital,"Dilshad Garden, Delhi",1.0,,https://www.practo.com/delhi/hospital/singh-s-dental-hospital-dilshad-garden
297,Jeevan Jyoti Multispeciality Hospital,"Dilshad Garden, Delhi",2.0,35.0,https://www.practo.com/delhi/hospital/jeevan-jyoti-ivf-centre-dilshad-garden
298,Sehgal Neo Hospital,"Paschim Vihar, Delhi",1.0,,https://www.practo.com/delhi/hospital/sehgal-neo-hospital-4-paschim-vihar
299,Prashanti Nursing Home,"Rohini, Delhi",4.0,6.0,https://www.practo.com/delhi/hospital/prashanti-nursing-home-rohini-1-1
300,Sukhija Nursing Home,"Vivek Vihar, Delhi",2.0,5.0,https://www.practo.com/delhi/hospital/sukhija-nursing-home
301,Muskaan Hospital,"Shahdara, Delhi",2.0,16.0,https://www.practo.com/delhi/hospital/muskaan-hospital-shahdara
302,Devanshi Hospital,"Delhi, Delhi",2.0,,https://www.practo.com/delhi/hospital/devanshi-hospital-faridabad-nit
303,Maharaja Agrasen Hospital,"Ashok Vihar, Delhi",1.0,,https://www.practo.com/delhi/hospital/maharaja-agrasen-hospital-ashok-vihar-1
304,Rao Dental Hospital,"Tilak Nagar, Delhi",1.0,,https://www.practo.com/delhi/hospital/rao-dental-hospital-subhash-nagar
305,Netra Eye Hospital,"Dwarka, Delhi",1.0,2.0,https://www.practo.com/delhi/hospital/netra-eye-hospital-palam-village
306,Sanjay Global Hospital,"Jahangirpuri, Delhi",1.0,4.0,https://www.practo.com/delhi/hospital/sanjay-global-hospital-rohini
307,Davita Care India Pvt Ltd,"Chanakyapuri, Delhi",3.0,20.0,https://www.practo.com/delhi/hospital/davita-care-india-pvt-ltd-chanakyapuri
308,Sanjivini Maternity & Children Hospital,"Uttam Nagar, Delhi",1.0,,https://www.practo.com/delhi/hospital/sanjivini-maternity-children-hospital-uttam-nagar
309,Mahajan Hospital,"Adarsh Nagar, Delhi",11.0,10.0,https://www.practo.com/delhi/hospital/mahajan-hospital-6
310,K K HOSPITAL,"Peeragarhi, Delhi",1.0,10.0,https://www.practo.com/delhi/hospital/k-k-hospital-peeragarhi-1-1
311,Khetarpal Hospital,"Bali Nagar, Delhi",1.0,60.0,https://www.practo.com/delhi/hospital/khetarpal-hospital-najafgarh
312,Bakson's Homoeopathic Centre for Allergy,"Janak Puri, Delhi",1.0,,https://www.practo.com/delhi/hospital/bakson-s-homoeopathic-centre-for-allergy-janak-puri
313,Anand's ENT & Speech Hospital,"Rohini, Delhi",1.0,,https://www.practo.com/delhi/hospital/anand-s-ent-speech-hospital-rohini
314,Bakson's Homoeopathic Centre for Allergy,"Pitampura, Delhi",1.0,,https://www.practo.com/delhi/hospital/bakson-s-homoeopathic-centre-for-allergy-pitampura
315,Bakson's Homoeopathic Centre for Allergy,"Anand Vihar, Delhi",1.0,,https://www.practo.com/delhi/hospital/bakson-s-homoeopathic-centre-for-allergy-anand-vihar
316,Bakson's Homoeopathic Centre for Allergy,"South Extension 1, Delhi",1.0,,https://www.practo.com/delhi/hospital/bakson-s-homoeopathic-centre-for-allergy-south-extension-1
317,Bakson's Homoeopathic Centre for Allergy,"Shakti Nagar, Delhi",1.0,,https://www.practo.com/delhi/hospital/bakson-s-homoeopathic-centre-for-allergy-shakti-nagar
318,Bakson's Homoeopathic Centre for Allergy,"Rajouri Garden, Delhi",1.0,,https://www.practo.com/delhi/hospital/bakson-s-homoeopathic-centre-for-allergy-rajouri-garden
319,Bakson's Homoeopathic Centre for Allergy,"Dwarka, Delhi",1.0,,https://www.practo.com/delhi/hospital/bakson-s-homoeopathic-centre-for-allergy-dwarka
320,Bakson's Homoeopathic Centre for Allergy,"Kalkaji, Delhi",1.0,,https://www.practo.com/delhi/hospital/bakson-s-homoeopathic-centre-for-allergy-kalkaji
321,Bakson's Homoeopathic Centre for Allergy,"Patel Nagar West, Delhi",6.0,,https://www.practo.com/delhi/hospital/bakson-s-homoeopathic-centre-for-allergy-patel-nagar-west
322,Alshifa Hospital,"Okhla, Delhi",1.0,,https://www.practo.com/delhi/hospital/alshifa-hospital-okhla
323,"Visitech Eye Centre, Jasola","Jasola, Delhi",4.0,8.0,https://www.practo.com/delhi/hospital/visitech-eye-centre
324,Gupta Multispeciality Hospital,"Bawana, Delhi",1.0,,https://www.practo.com/delhi/hospital/gupta-multispeciality-hospital-bawana
325,SRG Speciality Hospital,"Shastri Nagar, Delhi",1.0,,https://www.practo.com/delhi/hospital/srg-specialty-clinics-shastri-nagar
326,Bhagwan Mahavir hospital,"Delhi, Delhi",1.0,25.0,https://www.practo.com/delhi/hospital/bhagwan-mahavir-hospital-faridabad-nit
327,Deen Dayal Upadhyaya Hospital,"Hari Nagar, Delhi",1.0,,https://www.practo.com/delhi/hospital/deen-dayal-upadhyaya-hospital-hari-nagar-1
328,Apurva Hospital,"Delhi, Delhi",1.0,25.0,https://www.practo.com/delhi/hospital/apurva-hospital
329,Bhagwan Mahavir Hospital,"Rohini, Delhi",1.0,,https://www.practo.com/delhi/hospital/bhagwan-mahavir-hospital-rohini-1
330,Dayanand Dharmarth Aushdhalaya Hospital,"Patel Nagar West, Delhi",1.0,,https://www.practo.com/delhi/hospital/dayanand-dharmarth-aushdhalaya-hospital-patel-nagar-west
331,Max Smart Super Speciality Hospital,"Saket, Delhi",1.0,10.0,https://www.practo.com/delhi/hospital/max-smart-superspeciality-hospital-saket-3
332,Tyagi hospital,"Dilshad Garden, Delhi",1.0,20.0,https://www.practo.com/delhi/hospital/tyagi-hospital-dilshad-garden
333,Pheonix Hospital,"Greater Kailash Part 1, Delhi",1.0,,https://www.practo.com/delhi/hospital/pheonix-hospital-greater-kailash-part-1
334,PGH Hospital,"Vikas Nagar, Delhi",2.0,,https://www.practo.com/delhi/hospital/trauma-and-replacement-surgeon-meera-bagh
335,NHI Hospital,"East Of Kailash, Delhi",1.0,,https://www.practo.com/delhi/hospital/nhi-hospital-east-of-kailash
336,Adarsh Hospital,"Rohini Sector 24, Delhi",1.0,16.0,https://www.practo.com/delhi/hospital/mansaram-hospital-najafgarh
337,Phoenix Hospital,"Greater Kailash Part 1, Delhi",1.0,,https://www.practo.com/delhi/hospital/phoenix-hospital-greater-kailash-part-1-1
338,O.P Memorial Hospital,"Rohini, Delhi",2.0,4.0,https://www.practo.com/delhi/hospital/o-p-memorial-hospital-rohini
339,Tagore Hospital,"Tagore Garden, Delhi",1.0,,https://www.practo.com/delhi/hospital/tagore-hospital-tagore-garden
340,Dr. Baba Saheb Ambedkar Hospital,"Rohini, Delhi",1.0,,https://www.practo.com/delhi/hospital/dr-baba-saheb-ambedkar-hospital-rohini-1
341,Saroj Hospital,"Rohini, Delhi",1.0,,https://www.practo.com/delhi/hospital/saroj-hospital-rohini-1
342,R K Hospital,"Laxmi Nagar, Delhi",1.0,,https://www.practo.com/delhi/hospital/r-k-hospital-laxmi-nagar
343,City Hospital,"Rajendra Nagar, Delhi",2.0,,https://www.practo.com/delhi/hospital/city-hospital-12-rajendra-nagar
344,Rashmi Hospital,"Pitampura, Delhi",1.0,,https://www.practo.com/delhi/hospital/rashmi-hospital-pitampura-1
345,Maharaja Agrasen Hospital,"Dwarka, Delhi",1.0,1.0,https://www.practo.com/delhi/hospital/rockland-hospital-delhi-1
346,Dwaraka Hospital,"Dwarka, Delhi",1.0,,https://www.practo.com/delhi/hospital/dwaraka-hospital-dwarka
347,Healers at Home,"Delhi, Delhi",1.0,,https://www.practo.com/delhi/hospital/healers-at-home-delhi
348,Bens up hospital,"Dwarka, Delhi",1.0,,https://www.practo.com/delhi/hospital/bens-up-hospital-dwarka-1
349,Sethi Hospital,"Delhi, Delhi",1.0,,https://www.practo.com/delhi/hospital/sethi-hospital-basai-road
350,Ashoka Hospital,"Delhi, Delhi",1.0,,https://www.practo.com/delhi/hospital/ashoka-hospital-basaveshwaranagar
351,Alshifa Hospital,"Okhla, Delhi",2.0,,https://www.practo.com/delhi/hospital/alshifa-hospital-1
352,Rahman Hospital,"Delhi, Delhi",1.0,2.0,https://www.practo.com/delhi/hospital/rahman-hospital
353,Kirti Nursing Home,"Delhi, Delhi",1.0,20.0,https://www.practo.com/delhi/hospital/kirti-nursing-home
354,Sharma clinic & maternity home,"Laxmi Nagar, Delhi",,20.0,https://www.practo.com/delhi/hospital/sharma-clinic-maternity-home-laxmi-nagar
355,eden hospital pvt. ltd,"Lajpat Nagar, Delhi",,,https://www.practo.com/delhi/hospital/eden-hospital-pvt-ltd-lajpat-nagar
