,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
41,Apollo Hospital,"Ahmedabad, Ahmedabad",3.0,,https://www.practo.com/ahmedabad/hospital/apollo-hospital-gandhinagar
42,Apollo Hospitals,"Bhat, Ahmedabad",3.0,,https://www.practo.com/ahmedabad/hospital/dr-kunal-aterkar-bhat
43,M B Patel Hospital,"Vastral, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/viral-patel-vastral
44,Devasya Kidney Hospital,"Nava Vadaj, Ahmedabad",2.0,50.0,https://www.practo.com/ahmedabad/hospital/devasya-kidney-hospital-2-nava-vadaj
45,Parekh Fracture & Orthopaedic Hospital,"Paldi, Ahmedabad",2.0,,https://www.practo.com/ahmedabad/hospital/parekh-fracture-orthopaedic-hospital-paldi
46,Shreyas Multispeciality Dental Hospital,"Naranpura Vistar, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/shreyas-multispeciality-dental-hospital-naranpura-vistar
47,Face Hospital,"Ambawadi, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/face-hospital-nehru-nagar
48,Patel ENT Hospital,"Ctm Char Rasta, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/patel-e-n-t-hospital-ctm-char-rasta
49,Babycare Hospital,"Thaltej, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/babycare-hospital-thaltej
50,Shree Eye and Dental Hospital,"Sola, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/shree-eye-and-dental-hospital-sola
51,Wellspring IVF & Women's Hospital,"Satellite, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/wellspring-ivf-women-s-hospital-satellite
52,Shrey Hospital,"Navrangpura, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/shrey-hospital-navrangpura-1
53,Sudarshan Eye Hospital,"Bopal, Ahmedabad",2.0,,https://www.practo.com/ahmedabad/hospital/sudarshan-eye-hospital-bopal
54,Karunesh Neuro & Spine Surgical Hospital,"Bapunagar, Ahmedabad",1.0,10.0,https://www.practo.com/ahmedabad/hospital/karunesh-neuro-spine-surgical-hospital-bapunagar
55,Krishna Shalby Hospital,"Bopal, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/krishna-shalby-hospital-bhopal
56,Ahmedabad Piles Fistula Hospital,"Paldi, Ahmedabad",1.0,10.0,https://www.practo.com/ahmedabad/hospital/ahmedabad-piles-fistula-hospital-paldi
57,Shalin Eye Care Hospital,"Stadium Marg, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/shalin-eye-care-hospital-1
58,Jani Women's Hospital,"Navrangpura, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/jani-women-s-hospital-navrangpura
59,CIMS Cancer Centre,"Sola, Ahmedabad",2.0,,https://www.practo.com/ahmedabad/hospital/shrey-hospital-navrangpura
60,Navkar ENT Hospital,"Paldi, Ahmedabad",1.0,5.0,https://www.practo.com/ahmedabad/hospital/navkar-ent-hospital-paldi-1
61,"Aarna Super Speciality Hospital,","Paldi, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/aarna-super-speciality-hospital-paldi
62,Navkar Hospital,"Bopal, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/navkar-hospital-ahmedabad
63,Narayana Multispeciality Hospital,"Rakhial, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/narayana-multispeacilty-hospital-raikhad
64,Chintan Hospital,"Bopal, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/chintan-hospital-bopal
65,Sterling Hospital Obgyn Dept/ Shraddha Hospital,"Satellite, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/sterling-hospital-obgyn-dept-shraddha-hospital-satellite
66,Shree Sai Children Hospital,"Chandkheda, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/shree-sai-children-hospital-chandkheda
67,Aayush Surgical Hospital,"Gurukul Road, Ahmedabad",2.0,,https://www.practo.com/ahmedabad/hospital/aayush-surgical-hospital-gurukul-road-1
68,Aahna Eye Care Hospital,"Sabarmati, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/ekta-shah-sabarmati
69,Sal Hospital,"Thaltej, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/sal-hospital-2-thaltej
70,Parekh Hospital,"Satellite, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/parekh-hospital-satellite
71,Ashish Child Hospital,"Ellisbridge, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/ashish-child-hospital-jodhpur
72,Sola General hospital,"Sola, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/sola-general-hospital-ahmedabad-sola
73,Relief Surgical Hospital,"Ahmedabad, Ahmedabad",1.0,,https://www.practo.com/ahmedabad/hospital/relief-surgical-hospital-ahmedabad
74,Kaizen Hospital,"Memnagar, Ahmedabad",,,https://www.practo.com/ahmedabad/hospital/kaizen-hospital-memnagar
75,Sterling Hospital Obgyn Dept/ Shraddha Hospital,"Satellite, Ahmedabad",,,https://www.practo.com/ahmedabad/hospital/sterling-hospital-obgyn-dept-shraddha-hospital-satellite
76,Shree Sai Children Hospital,"Chandkheda, Ahmedabad",,,https://www.practo.com/ahmedabad/hospital/shree-sai-children-hospital-chandkheda
77,Aayush Surgical Hospital,"Gurukul Road, Ahmedabad",,,https://www.practo.com/ahmedabad/hospital/aayush-surgical-hospital-gurukul-road-1
78,Aahna Eye Care Hospital,"Sabarmati, Ahmedabad",,,https://www.practo.com/ahmedabad/hospital/ekta-shah-sabarmati
79,Sal Hospital,"Thaltej, Ahmedabad",,,https://www.practo.com/ahmedabad/hospital/sal-hospital-2-thaltej
