,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
44,Inamdar Multispeciality Hospital,"Fatima Nagar, Pune",35.0,120.0,https://www.practo.com/pune/hospital/inamdar-multispeciality-hospital-fatima-nagar-fatima-nagar
45,Pune Netralaya,"Aundh, Pune",1.0,1.0,https://www.practo.com/pune/hospital/pune-netralaya-aundh
46,AIMS Hospital,"Aundh, Pune",6.0,,https://www.practo.com/pune/hospital/aims-hospital-aundh-aundh
47,Orion Hospital,"Wakad, Pune",5.0,21.0,https://www.practo.com/pune/hospital/orion-hospital-4
48,Polaris Healthcare,"Wakad, Pune",10.0,15.0,https://www.practo.com/pune/hospital/dr-surendra-patil-wakad
49,Serene Hospital,"Vishrantwadi, Pune",7.0,26.0,https://www.practo.com/pune/hospital/serene-hospital-pvt-ltd-yerwada
50,Ratna Memorial Hospital,"Senapati Bapat Marg, Pune",20.0,75.0,https://www.practo.com/pune/hospital/ratna-hospital-senapati-bapat-marg-1
51,Om Hospital,"Bhosari, Pune",8.0,,https://www.practo.com/pune/hospital/om-hospital-bhosari
52,"Dwidal Hospital, Karve Road","Karve Nagar, Pune",4.0,,https://www.practo.com/pune/hospital/dwidal-hospital-karve-road-karve-nagar
53,Lokmanya Hospital,"Nigdi, Pune",1.0,110.0,https://www.practo.com/pune/hospital/lokhmanya-orthopedic-hospital-nigdi
54,N M Wadia Institute of Cardiology,"Bund Garden, Pune",13.0,58.0,https://www.practo.com/pune/hospital/n-m-wadia-institute-of-cardiology-bund-garden
55,Sai Sneh Hospital & Diagnostic Center Pvt. Ltd,"Satara Road, Pune",24.0,31.0,https://www.practo.com/pune/hospital/sai-sneh-hospital-diagnostic-center-pvt-ltd-satara-road
56,Ameya Clinic,"Erandwane, Pune",2.0,20.0,https://www.practo.com/pune/hospital/ameya-clinic-erandwane-1
57,Chellaram Diabetes Hospital,"Bavdhan, Pune",10.0,60.0,https://www.practo.com/pune/hospital/chellaram-diabetes-hospital-bavdhan-1
58,Asian Eye Hospital,"Dhole Patil Road, Pune",3.0,10.0,https://www.practo.com/pune/hospital/asian-eye-hospital-dhole-patil-road
59,Giriraj Hospital & Intensive Care Unit,"Baramati, Pune",27.0,,https://www.practo.com/pune/hospital/giriraj-hospital-intensive-care-unit-baramati
60,Viraj Eye Hospital,"Kharadi, Pune",1.0,,https://www.practo.com/pune/hospital/viraj-eye-hospital-chandan-nagar
61,Sahyadri Speciality Hospital,"Nagar Road, Pune",27.0,140.0,https://www.practo.com/pune/hospital/sahyadri-speciality-hospital-nagar-road-1
62,Dhanwantari Hospital,"Nigdi, Pune",1.0,,https://www.practo.com/pune/hospital/dhanwantari-ent-clinic-nigdi
63,Kataria Hospital,"Yerwada, Pune",2.0,20.0,https://www.practo.com/pune/hospital/kataria-hospital-yerwada
64,Meera Hospital,"Camp, Pune",5.0,,https://www.practo.com/pune/hospital/meera-hospital-camp
65,Sahyadri Hospital,"Bibvewadi, Pune",33.0,31.0,https://www.practo.com/pune/hospital/sahyadri-hospital-bibwewadi-bibvewadi
66,Mahaveer Super Speciality Eye Hospital and Laser Centre,"Camp, Pune",1.0,2.0,https://www.practo.com/pune/hospital/mahaveer-super-speciality-eye-hospital-camp
67,Aditya Birla Memorial Hospital,"Chinchwad, Pune",1.0,,https://www.practo.com/pune/hospital/aditya-birla-memorial-hospital-chinchwad-1-3
68,Usha Hospital,"Hadapsar, Pune",1.0,8.0,https://www.practo.com/pune/hospital/usha-hospital-hadapsar
69,Bhalerao Ent Hospital,"Akurdi, Pune",5.0,,https://www.practo.com/pune/hospital/bhalerao-ent-hospital-akurdi
70,Lifeline Speciality Hospital,"Wagholi, Pune",13.0,,https://www.practo.com/pune/hospital/lifeline-speciality-hospital-wagholi
71,Kelkar Nursing Home,"Deccan Gymkhana, Pune",4.0,4.0,https://www.practo.com/pune/hospital/kelkar-nursing-home-deccan-gymkhana
72,Shetiya Hospital And Komal Nursing Home,"Vishrantwadi, Pune",6.0,25.0,https://www.practo.com/pune/hospital/komal-nursing-home-yerwada-1
73,Sanjeevan Hospital,"Karve Nagar, Pune",23.0,105.0,https://www.practo.com/pune/hospital/sanjeevan-hospital-karve-road
74,"Shrigiri Hospital & Heart Care Centre, Gadital","Hadapsar, Pune",7.0,,https://www.practo.com/pune/hospital/shrigiri-hospital-heart-care-centre-gadital-hadapsar
75,Mantri Hospital,"Erandwane, Pune",2.0,10.0,https://www.practo.com/pune/hospital/mantri-hospital-erandwane
76,Sahyadri Hospital,"Bopodi, Pune",42.0,,https://www.practo.com/pune/hospital/sahyadri-hospital-bopodi-bopodi
77,KEM Hospital,"Rasta Peth, Pune",95.0,,https://www.practo.com/pune/hospital/kem-hospital-rasta-peth
78,Bharti Children & Cardio Diabetic Hospital,"Pimple Saudagar, Pune",2.0,15.0,https://www.practo.com/pune/hospital/bharti-cardio-and-diabetic-hospital-pimple-saudagar-1
79,Kohakade Hospital,"Wagholi, Pune",2.0,51.0,https://www.practo.com/pune/hospital/kohakade-hospital-nagar-road
80,Aditya Birla Memorial Hospital,"Chinchwad, Pune",33.0,500.0,https://www.practo.com/pune/hospital/aditya-birla-memorial-hospital-chinchwad-1
81,Kothari Accident Hospital,"Swargate, Pune",1.0,,https://www.practo.com/pune/hospital/kothari-accident-hospital-swargate
82,Medipoint Hospital,"Chandan Nagar, Pune",5.0,50.0,https://www.practo.com/pune/hospital/medipoint-hospital-chandan-nagar-1
83,Sunil Wankhede Memorial Hospital,"Dehu Road, Pune",2.0,15.0,https://www.practo.com/pune/hospital/sunil-wankhede-memorial-hospital-dehu-road
84,Sahydree Hospital,"Erandwane, Pune",10.0,,https://www.practo.com/pune/hospital/sahydree-hospital-erandwane
85,Mantri Hospital,"Ghorpadi, Pune",8.0,,https://www.practo.com/pune/hospital/mantri-hospital-ghorpadi
86,Vinayak Hospital,"Warje, Pune",2.0,20.0,https://www.practo.com/pune/hospital/vinayak-hospital-warje
87,Dhanashree Hospital,"Chinchwad, Pune",13.0,50.0,https://www.practo.com/pune/hospital/dhanashree-hospital-chinchwad
88,Deendayal Memorial Hospital,"FC Road, Pune",4.0,30.0,https://www.practo.com/pune/hospital/deendayal-memorial-hospital-cancer-research-centre-shivaji-nagar
89,Niramay Hospital,"Wadgaon Sheri, Pune",4.0,15.0,https://www.practo.com/pune/hospital/niramaya-hospitals-wadgaon-sheri
90,Cloudnine Hospital,"Shivaji Nagar, Pune",20.0,18.0,https://www.practo.com/pune/hospital/cloudnine-hospital-shivaji-nagar
91,Lifepoint Multispeciality Hospital,"Wakad, Pune",7.0,100.0,https://www.practo.com/pune/hospital/lifepoint-multispeciality-hospital-wakad
92,Agarwal Maternity & General Hospital,"Chandan Nagar, Pune",10.0,,https://www.practo.com/pune/hospital/agarwal-maternity-general-hospital-chandan-nagar
93,Mai Mangeshkar Hospital,"Warje, Pune",18.0,50.0,https://www.practo.com/pune/hospital/mai-mangeshkar-hospital-warje-5
94,Suraj Hospital,"Market Yard, Pune",4.0,15.0,https://www.practo.com/pune/hospital/suraj-hospital-bibvewadi
95,Aastha Hospital,"Chinchwad, Pune",3.0,25.0,https://www.practo.com/pune/hospital/astha-hospital-chinchwad
96,Chitale E.N.T Hospital,"Sadashiv Peth, Pune",7.0,2.0,https://www.practo.com/pune/hospital/chitale-e-n-t-hospital-sadashiv-peth
97,Pioneer Hospital ,"Talegaon, Pune",8.0,,https://www.practo.com/pune/hospital/pioneer-hospital-talegaon
98,Lunkad Hospital,"Yerwada, Pune",5.0,4.0,https://www.practo.com/pune/hospital/lunkad-hospital-yerwada
99,Shri Sai Hospital,"Alandi Devachi, Pune",10.0,,https://www.practo.com/pune/hospital/shri-sai-hospital-alandi-devachi
100,Dr Prakash Bhambure Clinic,"Satara Road, Pune",1.0,100.0,https://www.practo.com/pune/hospital/dr-prakash-bhambure-satara-road
101,Dr. Karne Accident And Orthopedic Hospital,"Swargate, Pune",2.0,23.0,https://www.practo.com/pune/hospital/karne-hospital-pvt-ltd-satara-road
102,Bakshi Hospital,"Kothrud, Pune",1.0,7.0,https://www.practo.com/pune/hospital/bakshi-hospital-kothrud
103,Shreeyash Multispeciality Hospital,"Sinhagad Road, Pune",3.0,20.0,https://www.practo.com/pune/hospital/sahayog-clinic-sinhagad-road-1
104,Vatsalya Mother & Child Care,"Bhosari, Pune",5.0,20.0,https://www.practo.com/pune/hospital/vatsalya-mother-child-care-bhosari
105,Lokmanya Hospital,"Swargate, Pune",1.0,50.0,https://www.practo.com/pune/hospital/lokmanya-hospital-swargate
106,Healing Touch Hospital,"Pimple Saudagar, Pune",5.0,,https://www.practo.com/pune/hospital/healing-touch-hospital-pimple-saudagar
107,Mayur Hospital,"Chinchwad, Pune",2.0,15.0,https://www.practo.com/pune/hospital/mayur-hospital-chinchwad
108,Shrikrupa Hospital,"Sangavi, Pune",3.0,10.0,https://www.practo.com/pune/hospital/shrikrupa-hospital-pimple-gaurav
109,Mohintara Hospital,"Hadapsar, Pune",4.0,,https://www.practo.com/pune/hospital/mohintara-hospital-hadapsar
110,Modern Hospital,"Nana Peth, Pune",1.0,15.0,https://www.practo.com/pune/hospital/modern-hospital-nana-peth-1
111,Dr. Ratnadeep's Dental Hospital,"Nigdi, Pune",7.0,20.0,https://www.practo.com/pune/hospital/dr-ratnadeep-s-dental-hospital-nigdi
112,Remedy Hospital,"Hadapsar, Pune",5.0,35.0,https://www.practo.com/pune/hospital/remedy-hospital-hadapsar
113,Jeewan Jyot Hospital,"Nagar Road, Pune",4.0,,https://www.practo.com/pune/hospital/jeewan-jyot-hospital-nagar-road
114,Swastik Hospital & Clinic,"Karve Nagar, Pune",2.0,,https://www.practo.com/pune/hospital/swastik-hospital-karvenagar-1
115,Siddhant Maternity Home,"Satara Road, Pune",6.0,5.0,https://www.practo.com/pune/hospital/siddhant-maternity-home-satara-road
116,Dr. Makan Surgical Maternity & Accident Hospital,"Sangavi, Pune",4.0,,https://www.practo.com/pune/hospital/dr-makan-surgical-maternity-accident-hospital-sangavi
117,Pawar Hospital,"Dhankawadi, Pune",4.0,40.0,https://www.practo.com/pune/hospital/pawar-hospital-dhankawadi
118,Dhanwantri Hospital - Rasta Peth,"Rasta Peth, Pune",7.0,,https://www.practo.com/pune/hospital/dhanwantri-hospital-rasta-peth-rasta-peth
119,Pearl Women's Hospital & Yash-IVF,"Deccan Gymkhana, Pune",2.0,15.0,https://www.practo.com/pune/hospital/pearl-women-s-hospital-yash-ivf-deccan-gymkhana
120,Sai Shree Hospital,"Aundh, Pune",7.0,40.0,https://www.practo.com/pune/hospital/sai-shree-hospital-aundh-1
121,Matru Seva Hospital,"Nana Peth, Pune",3.0,5.0,https://www.practo.com/pune/hospital/matruseva-hospital-nana-peth
122,Om Hospital & Maternity Home,"Pune, Pune",12.0,,https://www.practo.com/pune/hospital/om-hospital-maternity-home-pune
123,Shah Accident Hospital,"Yerwada, Pune",3.0,40.0,https://www.practo.com/pune/hospital/shah-accident-hospital-yerwada
124,Sterling Multispeciality Hospital,"Nigdi, Pune",3.0,200.0,https://www.practo.com/pune/hospital/sterling-hospital-nigdi
