,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
197,Pataskar Hospital,"Bhosari, Pune",2.0,25.0,https://www.practo.com/pune/hospital/pataskar-hospital-bhosari
198,5th Sense Animal Health Care,"Baner, Pune",1.0,2.0,https://www.practo.com/pune/hospital/5th-sense-animal-health-care-baner-baner
199,Gultekdi Nursing Home and Lithotripsy Centre,"Gultekdi, Pune",25.0,,https://www.practo.com/pune/hospital/gultekdi-nursing-home-and-lithotripsy-centre-gultekdi
200,Sagar Nursing Home,"Erandwane, Pune",2.0,,https://www.practo.com/pune/hospital/sagar-nursing-home-erandwane
201,Maxcare Hospital,"Pimple Saudagar, Pune",1.0,30.0,https://www.practo.com/pune/hospital/maxcare-hospital-pimple-saudagar
202,Umarji Hospital,"Shukrawar Peth, Pune",1.0,8.0,https://www.practo.com/pune/hospital/umarji-hospital-shukrawar-peth
203,Ganga Maternity and General Hospital,"Kharadi, Pune",18.0,,https://www.practo.com/pune/hospital/ganga-maternity-and-general-hospital-chandan-nagar
204,Devashri Hospital,"Padmavati, Pune",1.0,5.0,https://www.practo.com/pune/hospital/devashri-hospital-padmavati
205,Vitalife Clinic - Bavdhan,"Bavdhan, Pune",6.0,,https://www.practo.com/pune/hospital/vitalife-clinic-bavdhan-bavdhan-1
206,Dr Pagare Speciality Hospital & Critical Care Center,"Sangvi, Pune",1.0,8.0,https://www.practo.com/pune/hospital/dr-pagare-speciality-hospital-critical-care-center-pimple-gurav
207,Harjivan Hospital Sarasbaug,"Swargate, Pune",2.0,,https://www.practo.com/pune/hospital/harjivan-hospital-sarasbaug-shukrawar-peth
208,C T Hospital,"Thergaon, Pune",1.0,10.0,https://www.practo.com/pune/hospital/c-t-hospital-wakad
209,Aditya Birla Memorial Hospital,"Chinchwad, Pune",1.0,10.0,https://www.practo.com/pune/hospital/aditya-birla-memorial-hospital-chinchwad
210,Bhagirathi Children's Hospital,"Karve Nagar, Pune",6.0,18.0,https://www.practo.com/pune/hospital/bhagirathi-hospital-karve-nagar
211,Golden Care Hospital,"Wakad, Pune",3.0,,https://www.practo.com/pune/hospital/physician-wakad
212,Ashtvinayak Hospital,"Moshi, Pune",1.0,50.0,https://www.practo.com/pune/hospital/ashtanvinayak-hospital-pune-moshi
213,Shree Anand Memorial Hospital,"Thergaon, Pune",8.0,8.0,https://www.practo.com/pune/hospital/shree-anand-memorial-hospital-thergaon-1
214,Dr. Sunil Ugile's Piles Clinic(Ashutosh Hospital),"Kalewadi, Pune",4.0,5.0,https://www.practo.com/pune/hospital/dr-sunil-ugile-piles-clinic-pune-pimpri
215,Deccan Multispeciality Hardikar Hospital,"Shivaji Nagar, Pune",1.0,80.0,https://www.practo.com/pune/hospital/deccan-multispeciality-hardikar-hospital-shivaji-nagar
216,Siddhi Health Care Center,"Sangavi, Pune",5.0,50.0,https://www.practo.com/pune/hospital/siddhi-health-care-center-sangavi
217,Mauli Hospital and Child Health and Gynae Center,"Lohegaon, Pune",13.0,,https://www.practo.com/pune/hospital/mauli-hospital-and-child-health-and-gynae-center-lohegaon
218,Suyash Hospital,"Kothrud, Pune",4.0,15.0,https://www.practo.com/pune/hospital/suyash-hospital-kothrud-kothrud
219,Ashirwad ENT and Maternity Hospital,"Hadapsar, Pune",1.0,4.0,https://www.practo.com/pune/hospital/ashirwad-ent-and-maternity-hospital-hadapsar-1
220,Cloudnine Hospital,"Kalyani Nagar, Pune",4.0,,https://www.practo.com/pune/hospital/cloudnine-hospital-6-kalyani-nagar
221,Mahajan Hospital,"Satara Road, Pune",1.0,,https://www.practo.com/pune/hospital/mahajan-hospital-satara-road
222,Pasaayadan Ayurved Hospital,"Nigdi, Pune",2.0,,https://www.practo.com/pune/hospital/pasaayadan-ayurved-hospital-nigdi-1
223,MJM Hospital,"Shivaji Nagar, Pune",3.0,100.0,https://www.practo.com/pune/hospital/mjm-hospital-pune-shivaji-nagar
224,Indira Maternity Home,"JM Road, Pune",2.0,4.0,https://www.practo.com/pune/hospital/indira-maternity-home-jm-road
225,Astha Hospital,"Chikhali, Pune",2.0,30.0,https://www.practo.com/pune/hospital/astha-hospital-10
226,Prachiti Hospital & Research Centre,"Sinhagad Road, Pune",1.0,10.0,https://www.practo.com/pune/hospital/prachiti-hospital-research-centre-anandnagar
227,Atharva Nursing Home,"Pimple Nilakh, Pune",1.0,4.0,https://www.practo.com/pune/hospital/atharv-nursing-home-pimple-nilakh
228,IMAX MULTISPECIALITY HOSPITAL,"Wagholi, Pune",1.0,70.0,https://www.practo.com/pune/hospital/imax-multispeciality-hospital-wagholi
229,Usha Kiran Eye Hospital,"Thergaon, Pune",1.0,2.0,https://www.practo.com/pune/hospital/usha-kiran-eye-hospital-thergaon
230,"Mothercare Hospital, IVF Centre,Centre for Assisted Reproductive Technology","Market Yard, Pune",1.0,,https://www.practo.com/pune/hospital/mothercare-clinic-market-yard-1
231,Kirad Hospital,"Nana Peth, Pune",1.0,,https://www.practo.com/pune/hospital/md-psychiatry-nana-peth
232,Rode Hospital,"Dighi Camp, Pune",3.0,15.0,https://www.practo.com/pune/hospital/rode-hospital
233,Skin City Jehangir Hospital,"Bund Garden, Pune",6.0,,https://www.practo.com/pune/hospital/skin-city-jehangir-hospital-pune
234,Dr. Dnyanmote Multi Speciality Hospital,"Thergaon, Pune",1.0,10.0,https://www.practo.com/pune/hospital/dr-dnyanmote-multi-speciality-hospital-3
235,National Institute Of Ophthalmology - Aundh,"Aundh, Pune",1.0,10.0,https://www.practo.com/pune/hospital/national-institute-of-ophthalmology-aundh-aundh
236,Seva Hospital,"Thergaon, Pune",1.0,,https://www.practo.com/pune/hospital/seva-hospital-thergaon
237,Oyster And Pearl Hospital,"Shivaji Nagar, Pune",1.0,,https://www.practo.com/pune/hospital/oyster-and-pearl-hospital-shivaji-nagar
238,Patil Eye Hospital,"Bhosari, Pune",1.0,2.0,https://www.practo.com/pune/hospital/patil-eye-hospital-bhosari
239,dhanvantari hospital,"Hadapsar, Pune",1.0,,https://www.practo.com/pune/hospital/dhanvantari-hospital-pune
240,Kulkarni EndoSurgery Institute,"Kothrud, Pune",1.0,21.0,https://www.practo.com/pune/hospital/kulkarni-endosurgery-institute-reconstructive-urology-centre
241,Talera Hospital,"Chinchwad, Pune",3.0,,https://www.practo.com/pune/hospital/talera-hospital-chinchwad-1
242,Gujar Hospital,"Ambegaon, Pune",1.0,4.0,https://www.practo.com/pune/hospital/gujar-hospital-ambegaon
243,Arylok Hospital,"Sinhagad Road, Pune",1.0,2.0,https://www.practo.com/pune/hospital/arylok-hospital-sinhagad-road
244,ONP general hospital- Shivajinagar and Tulip Hospital- Gokhale nagar,"Shivaji Nagar, Pune",1.0,,https://www.practo.com/pune/hospital/oyster-pearl-hospital-shivaji-nagar
245,Deshpande Eye Hospital & Laser Center,"Paud Road, Pune",2.0,1.0,https://www.practo.com/pune/hospital/deshpande-eye-hospital-and-laser-centre-kothrud-1
246,Pune City Eye Clinic,"Camp, Pune",1.0,1.0,https://www.practo.com/pune/hospital/pune-city-eye-clinic-camp
247,"AIMS Hospital, Aundh","Aundh, Pune",1.0,,https://www.practo.com/pune/hospital/aims-hospital-aundh-aundh-1
248,Rajvaidya Ayurvedic Super speciality Panchakarma Hospital,"Pimple Saudagar, Pune",1.0,,https://www.practo.com/pune/hospital/rajvaidya-ayurvedic-super-speciality-panchakarma-hospital-pimple-saudagar
249,Bethesada Hospital	,"Camp, Pune",1.0,,https://www.practo.com/pune/hospital/bethesada-hospital-camp-1
250,Desai Accident & General Hospital,"Bhosari, Pune",1.0,48.0,https://www.practo.com/pune/hospital/desai-accident-general-hospital-bhosari
251,Shree Hospital,"Pimple Gurav, Pune",1.0,,https://www.practo.com/pune/hospital/shree-hospital-pimple-gurav
252,Nityaseva Hospital,"Sangvi, Pune",1.0,2.0,https://www.practo.com/pune/hospital/nityaseva-hospital-sangvi
253,Universal Hospital,"Kasba Peth, Pune",1.0,50.0,https://www.practo.com/pune/hospital/universal-hospital-kasba-peth-1-4
254,Adishakti Hospital,"Moshi, Pune",2.0,,https://www.practo.com/pune/hospital/adhishakti-hospital-pimpri
255,Mauli Accident And Multi Speciality Hospital,"Alephata, Pune",1.0,,https://www.practo.com/pune/hospital/drharshal-alephata
256,APS Nursing Home,"Hadapsar, Pune",1.0,15.0,https://www.practo.com/pune/hospital/aps-nursing-home-hadapsar
257,Dugad Hospital,"Satara Road, Pune",1.0,15.0,https://www.practo.com/pune/hospital/dugad-hospital-satara-road-1
258,Gavane Hospital,"Wakad, Pune",1.0,5.0,https://www.practo.com/pune/hospital/gavane-hospital-thergaon
259,Machave Hospital,"Kothrud, Pune",1.0,,https://www.practo.com/pune/hospital/machave-hospital-kothrud-1-1
260,Pritam Children's Hospital,"Bhosari, Pune",1.0,25.0,https://www.practo.com/pune/hospital/pritam-children-s-hospital-bhosari-1
261,Jeevan Hospital,"Pirangut, Pune",1.0,,https://www.practo.com/pune/hospital/jeevan-hospital-model-colony
262,Sahawas Hospital,"Karve Nagar, Pune",1.0,5.0,https://www.practo.com/pune/hospital/sahawas-hospital-karve-nagar
263,Marathe Hospital,"Swargate, Pune",1.0,10.0,https://www.practo.com/pune/hospital/marathe-hospital-swargate
264,Chaitanya Super Speciality Hospital ,"Pimpri, Pune",1.0,,https://www.practo.com/pune/hospital/chaitanya-hospital-3-pimpri
265,"Sarpotdar Eye Hospital, Kothrud","Kothrud, Pune",1.0,2.0,https://www.practo.com/pune/hospital/sarpotdar-eye-hospital-kothrud-paud-road
266,Alliance Munot Hospital,"Bhavani Peth, Pune",1.0,,https://www.practo.com/pune/hospital/chest-physician-bhavani-peth
267,Niramay hospital,"Pimple Saudagar, Pune",1.0,,https://www.practo.com/pune/hospital/niramay-hospital-pimple-saudagar
268,Potdar Hospital,"Shivaji Nagar, Pune",1.0,,https://www.practo.com/pune/hospital/potdar-hospital-shivaji-nagar
269,Sahyadri Super Speciality Hospital,"Kasba Peth, Pune",1.0,,https://www.practo.com/pune/hospital/sahyadri-super-speciality-hospital-kasba-peth
270,B. S. D. T.'s College & Multispeciality Hospital,"Wagholi, Pune",1.0,,https://www.practo.com/pune/hospital/b-s-d-t-s-ayurwedic-college-and-multispeciality-hospital-wagholi
271,Vighnaharta Hospital,"Daund, Pune",1.0,,https://www.practo.com/pune/hospital/vighnaharta-hospital-daund
272,Om Hospital Bavdhan,"Bavdhan, Pune",1.0,,https://www.practo.com/pune/hospital/om-hospital-bavdhan-bavdhan
273,Avdhoot Hospital,"Baramati, Pune",,,https://www.practo.com/pune/hospital/avdhoot-hospital-baramati
274,Vatsalya hospital,"Budhwar Peth, Pune",,,https://www.practo.com/pune/hospital/vatsalya-hospital-7-budhwar-peth
275,Sai Chetanya Hospital,"Hadapsar, Pune",,,https://www.practo.com/pune/hospital/sai-chetanya-hospital-hadapsar
276,Alliance Munot Hospital,"Bhavani Peth, Pune",,,https://www.practo.com/pune/hospital/chest-physician-bhavani-peth
277,Niramay hospital,"Pimple Saudagar, Pune",,,https://www.practo.com/pune/hospital/niramay-hospital-pimple-saudagar
278,Potdar Hospital,"Shivaji Nagar, Pune",,,https://www.practo.com/pune/hospital/potdar-hospital-shivaji-nagar
